area,i,j,cell,bounds,tile,well
1022,438.7739726027397,495.8101761252446,157,"(421, 477, 457, 515)",1,A2
1849,445.5164954029205,2093.6435911303406,158,"(423, 2068, 470, 2120)",1,A2
1230,443.32357723577235,47.65040650406504,159,"(424, 27, 463, 68)",1,A2
1690,458.34023668639054,307.0769230769231,160,"(436, 284, 482, 332)",1,A2
1404,456.6894586894587,372.6908831908832,161,"(436, 351, 480, 397)",1,A2
1496,454.39572192513367,2286.654411764706,162,"(436, 2260, 474, 2314)",1,A2
953,453.3473242392445,588.5676810073452,163,"(437, 570, 471, 607)",1,A2
1471,463.92182188987084,2181.631543167913,164,"(440, 2162, 488, 2203)",1,A2
1615,468.8811145510836,447.7263157894737,165,"(443, 428, 496, 468)",1,A2
1059,462.02360717658166,685.7422096317281,166,"(445, 667, 480, 705)",1,A2
1888,467.2145127118644,2017.5783898305085,167,"(446, 1991, 490, 2045)",1,A2
2059,470.18698397280235,1207.4803302574064,168,"(448, 1179, 494, 1235)",1,A2
1259,469.32247815726765,629.3042096902303,169,"(450, 609, 489, 651)",1,A2
1945,473.3357326478149,1131.3223650385605,170,"(451, 1104, 497, 1159)",1,A2
1567,472.40268028079134,779.6145500957243,171,"(455, 752, 491, 807)",1,A2
1029,475.41690962099125,227.1661807580175,172,"(457, 208, 494, 247)",1,A2
1217,478.9786359901397,189.0698438783895,173,"(458, 171, 499, 211)",1,A2
1192,481.7852348993289,2252.873322147651,174,"(464, 2231, 500, 2276)",1,A2
1600,492.098125,65.326875,175,"(473, 40, 513, 91)",1,A2
1427,501.55991590749824,2137.978976874562,176,"(479, 2117, 525, 2158)",1,A2
1637,506.9773976786805,402.2351863164325,177,"(483, 382, 532, 424)",1,A2
1575,505.20444444444445,1059.9053968253968,178,"(484, 1039, 529, 1083)",1,A2
1755,505.0279202279202,1885.945868945869,179,"(485, 1859, 526, 1913)",1,A2
1102,502.978221415608,264.31215970961887,180,"(487, 243, 520, 286)",1,A2
1695,513.1303834808259,557.2672566371681,181,"(490, 535, 538, 581)",1,A2
1296,511.287037037037,708.7762345679013,182,"(492, 687, 531, 730)",1,A2
1717,514.5835760046593,1632.1822947000583,183,"(493, 1608, 538, 1657)",1,A2
1376,517.8088662790698,651.3364825581396,184,"(498, 630, 538, 673)",1,A2
1103,519.6010879419764,329.6146872166818,185,"(502, 310, 538, 350)",1,A2
